Date,Matched Keywords,Prediction
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Neutral
8/4/2020,Trump,Neutral
8/4/2020,Trump,Positive
8/4/2020,Biden,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Positive
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Positive
8/4/2020,Trump,Positive
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Neutral
8/4/2020,Trump,Neutral
8/4/2020,Trump,Neutral
8/4/2020,Trump,Neutral
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Negative
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Positive
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Biden,Neutral
8/4/2020,Trump,Positive
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Positive
8/4/2020,Trump,Positive
8/4/2020,Biden,Positive
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Biden,Positive
8/4/2020,Trump,Positive
8/4/2020,Trump,Neutral
8/4/2020,Trump,Positive
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/4/2020,Trump,Positive
8/4/2020,Trump,Neutral
8/4/2020,Trump,Positive
8/4/2020,Trump,Neutral
8/4/2020,Trump,Negative
8/4/2020,Trump,Negative
8/4/2020,Trump,Positive
8/5/2020,Biden,Positive
8/5/2020,Trump,Neutral
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Neutral
8/5/2020,Biden,Neutral
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Biden,Neutral
8/5/2020,Biden,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Biden,Positive
8/5/2020,Trump,Positive
8/5/2020,Biden,Negative
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Neutral
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Biden,Positive
8/5/2020,Biden,Neutral
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Biden,Negative
8/5/2020,Biden,Neutral
8/5/2020,Biden,Positive
8/5/2020,Trump,Neutral
8/5/2020,Trump,Neutral
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Biden,Neutral
8/5/2020,Trump,Positive
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Neutral
8/5/2020,Trump,Neutral
8/5/2020,Biden,Neutral
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Trump,Neutral
8/5/2020,Biden,Negative
8/5/2020,Trump,Positive
8/5/2020,Trump,Positive
8/5/2020,Trump,Neutral
8/5/2020,Biden,Neutral
8/5/2020,Trump,Positive
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Biden,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Neutral
8/5/2020,Trump,Neutral
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Biden,Negative
8/5/2020,Biden,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Neutral
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Biden,Neutral
8/5/2020,Trump,Negative
8/5/2020,Trump,Neutral
8/5/2020,Trump,Positive
8/5/2020,Biden,Neutral
8/5/2020,Trump,Neutral
8/5/2020,Trump,Positive
8/5/2020,Trump,Neutral
8/5/2020,Trump,Positive
8/5/2020,Biden,Negative
8/5/2020,Trump,Negative
8/5/2020,Trump,Positive
8/5/2020,Biden,Positive
8/5/2020,Trump,Positive
8/5/2020,Trump,Positive
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Negative
8/5/2020,Biden,Positive
8/5/2020,Trump,Positive
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/5/2020,Trump,Positive
8/5/2020,Trump,Positive
8/5/2020,Trump,Negative
8/6/2020,Biden,Positive
8/6/2020,Trump,Negative
8/6/2020,Trump,Neutral
8/6/2020,Biden,Negative
8/6/2020,Trump,Positive
8/6/2020,Trump,Negative
8/6/2020,Trump,Negative
8/6/2020,Trump,Positive
8/6/2020,Trump,Negative
8/6/2020,Trump,Negative
8/6/2020,Trump,Negative
8/6/2020,Biden,Negative
8/6/2020,Trump,Negative
8/6/2020,Trump,Neutral
8/6/2020,Trump,Negative
8/6/2020,Trump,Neutral
8/6/2020,Trump,Negative
8/6/2020,Trump,Negative
8/6/2020,Trump,Negative
8/6/2020,Biden,Neutral
8/6/2020,Trump,Negative
8/6/2020,Trump,Positive
8/6/2020,Biden,Negative
8/6/2020,Trump,Negative
8/6/2020,Trump,Negative
8/6/2020,Biden,Neutral
8/6/2020,Biden,Neutral
8/6/2020,Trump,Neutral
8/6/2020,Biden,Negative
8/6/2020,Biden,Positive
8/6/2020,Biden,Neutral
8/6/2020,Trump,Negative
8/6/2020,Biden,Negative
8/6/2020,Trump,Neutral
8/6/2020,Biden,Neutral
8/6/2020,Trump,Negative
8/6/2020,Trump,Neutral
8/6/2020,Trump,Neutral
8/6/2020,Trump,Neutral
8/6/2020,Biden,Neutral
8/6/2020,Trump,Positive
8/6/2020,Trump,Neutral
8/6/2020,Trump,Positive
8/6/2020,Trump,Positive
8/6/2020,Trump,Positive
8/6/2020,Trump,Positive
8/6/2020,Trump,Negative
8/6/2020,Biden,Positive
8/6/2020,Trump,Neutral
8/6/2020,Trump,Positive
8/6/2020,Biden,Positive
8/6/2020,Trump,Neutral
8/6/2020,Trump,Neutral
8/6/2020,Trump,Positive
8/6/2020,Trump,Negative
8/6/2020,Biden,Negative
8/6/2020,Trump,Negative
8/6/2020,Trump,Neutral
8/6/2020,Trump,Neutral
8/6/2020,Trump,Negative
8/6/2020,Trump,Neutral
8/6/2020,Trump,Positive
8/6/2020,Trump,Negative
8/6/2020,Trump,Negative
8/6/2020,Trump,Positive
8/6/2020,Trump,Negative
8/6/2020,Biden,Neutral
8/6/2020,Trump,Negative
8/6/2020,Trump,Negative
8/6/2020,Biden,Neutral
8/6/2020,Biden,Positive
8/6/2020,Trump,Neutral
8/6/2020,Trump,Neutral
8/6/2020,Trump,Negative
8/6/2020,Trump,Positive
8/6/2020,Trump,Negative
8/6/2020,Trump,Positive
8/6/2020,Trump,Negative
8/6/2020,Trump,Positive
8/6/2020,Trump,Neutral
8/6/2020,Biden,Positive
8/6/2020,Trump,Negative
8/6/2020,Trump,Negative
8/6/2020,Biden,Positive
8/6/2020,Biden,Negative
8/6/2020,Trump,Neutral
8/6/2020,Biden,Positive
8/6/2020,Trump,Positive
8/6/2020,Trump,Neutral
8/6/2020,Trump,Positive
8/6/2020,Biden,Negative
8/6/2020,Trump,Positive
8/6/2020,Trump,Positive
8/6/2020,Trump,Positive
8/6/2020,Biden,Neutral
8/6/2020,Trump,Positive
8/6/2020,Trump,Positive
8/6/2020,Biden,Positive
8/6/2020,Trump,Positive
8/6/2020,Trump,Positive
8/6/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Positive
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Neutral
8/7/2020,Trump,Negative
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Positive
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Biden,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Biden,Negative
8/7/2020,Biden,Neutral
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Trump,Neutral
8/7/2020,Trump,Negative
8/7/2020,Biden,Neutral
8/7/2020,Biden,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Biden,Neutral
8/7/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Biden,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Biden,Positive
8/7/2020,Biden,Negative
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Trump,Positive
8/7/2020,Biden,Positive
8/7/2020,Trump,Negative
8/7/2020,Trump,Neutral
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Neutral
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Biden,Neutral
8/7/2020,Biden,Negative
8/7/2020,Trump,Positive
8/7/2020,Trump,Neutral
8/7/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Trump,Neutral
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Positive
8/7/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Negative
8/7/2020,Trump,Positive
8/7/2020,Biden,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Neutral
8/8/2020,Trump,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Neutral
8/8/2020,Trump,Positive
8/8/2020,Trump,Positive
8/8/2020,Trump,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Biden,Positive
8/8/2020,Trump,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Neutral
8/8/2020,Biden,Negative
8/8/2020,Trump,Positive
8/8/2020,Biden,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Neutral
8/8/2020,Trump,Neutral
8/8/2020,Biden,Neutral
8/8/2020,Biden,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Neutral
8/8/2020,Trump,Neutral
8/8/2020,Trump,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Neutral
8/8/2020,Trump,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Biden,Positive
8/8/2020,Trump,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Positive
8/8/2020,Trump,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Neutral
8/8/2020,Trump,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Positive
8/8/2020,Trump,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Neutral
8/8/2020,Trump,Positive
8/8/2020,Trump,Neutral
8/8/2020,Trump,Positive
8/8/2020,Trump,Positive
8/8/2020,Trump,Positive
8/8/2020,Trump,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Biden,Positive
8/8/2020,Trump,Positive
8/8/2020,Trump,Negative
8/8/2020,Trump,Neutral
8/8/2020,Trump,Negative
8/8/2020,Trump,Negative
8/8/2020,Biden,Neutral
8/8/2020,Trump,Negative
8/9/2020,Trump,Neutral
8/9/2020,Trump,Positive
8/9/2020,Trump,Negative
8/9/2020,Trump,Positive
8/9/2020,Trump,Negative
8/9/2020,Trump,Positive
8/9/2020,Trump,Neutral
8/9/2020,Trump,Positive
8/9/2020,Trump,Positive
8/9/2020,Trump,Positive
8/9/2020,Trump,Positive
8/9/2020,Biden,Positive
