Date,Matched Keywords,User,Source,Followers,Friends,Favorite,Tweet,predTweet,CleanedTweet
8/5/2020,Biden,YourSiteingGoog,IFTTT,84,198,0,"Breaking #FoxNews Alert : Bien scraps plans to travel to Milwaukee for nomination acceptance, citing coronavirus concerns",breaking foxnews alert biden scraps plans travel milwaukee for nomination acceptance citing coronavirus concerns,"['break', 'foxnew', 'alert', 'bien', 'scrap', 'plan', 'travel', 'milwauke', 'nomin', 'accept', 'cite', 'coronaviru', 'concern']"
8/5/2020,Trump,rbenton75nc,Twitter for Android,15,87,0,@JRubinBlogger Isn't the doctor who gave Trump the test the same doctor that  he tried to put as head of the A? Suid pro Quo?,not the doctor who gave trump the test the same doctor that he tried put as head of the va quid professional quo,"['doctor', 'trump', 'test', 'doctor', 'tri', 'head', 'quid', 'profession']"
8/5/2020,Trump,Mrb18101,Twitter for iPhone,72,134,0,"@WindsorMann The only friends Trump has had his entire life are they ones that can only be bought with money.

Trump would make terrible friend.",the only friends trump has had his entire life are they ones that can only be bought with money trump would make terrible friend,"['friend', 'trump', 'entir', 'life', 'one', 'bought', 'money', 'trump', 'would', 'make', 'terribl', 'friend']"
8/5/2020,Trump,mermansteve,Twitter Web App,5232,5664,0,Trump’s pick to manage public lands has four-decade history of “overt racism” toward Native people http://t.co/yflltSKcyV by @AlleenBrown,trumps pick manage public lands has fourdecade history of overt racism toward native people by,"['trump', 'pick', 'manag', 'public', 'land', 'fourdecad', 'histori', 'overt', 'racism', 'toward', 'nativ', 'peopl']"
8/5/2020,Trump,biospherian,Twitter Web App,26,167,0,Because Trump is an asshole: http://t.co/Is5rkXYBm9,because trump an asshole,"['trump', 'asshol']"
8/5/2020,Biden,ccabildo,Twitter Web App,48,148,0,"@politico Bien Asks Black Reporter If He’s A Sunkie On Cocaine.
http://t.co/by2RaUbjdP",biden asks black reporter if hes junkie cocaine,"['bien', 'ask', 'black', 'report', 'junki', 'cocain']"
8/5/2020,Trump,inselratte,Twitter for Android,6454,6454,0,"@RonConnolly9 #Trump the sort of president who failed his oh, so hard, cognitive test because he couldn't answer the question who is the president?",trump the sort of president who failed his oh so hard cognitive test because he could not answer the who the president,"['trump', 'sort', 'presid', 'fail', 'hard', 'cognit', 'test', 'could', 'answer', 'question', 'presid']"
8/5/2020,Trump,LaTortuKawoq,Twitter for iPhone,687,1462,0,"Trump and the OP are currently one of the most dangerous criminal organizations on earth,  #ItIsWhatItIs.

Let’s #VoteBlueToEndThisNightmare",trump and the gop are currently one of the most dangerous criminal organizations earth itiswhatitis lets votebluetoendthisnightmare,"['trump', 'current', 'danger', 'crimin', 'organ', 'earth', 'itiswhat', 'let', 'votebluetoendthisnightmar']"
8/5/2020,Trump,65Houston,Twitter for Android,421,587,0,So if Trump cant use the white house grounds how about the park across the street with the white house in the back ground?  The Lincoln moment? Somewhere close.  Keep the fire extinguishers near by for Pelopi when she erupts,so if trump cant the white house grounds how about the park across the street with the white house in the back ground the lincoln moument somewhere close keep the fire extinguishers near by for pelosi when she erupts,"['trump', 'cant', 'white', 'hous', 'ground', 'park', 'across', 'street', 'white', 'hous', 'back', 'ground', 'lincoln', 'moment', 'somewher', 'close', 'keep', 'fire', 'extinguish', 'near', 'pelosi', 'erupt']"
8/5/2020,Biden,madisondotcom,SocialNewsDesk,36216,7015,0,"Vice President Joe Bien and other speakers won't be heading to Wisconsin for the NC later this month, Democratic organizers announced Wednesday. http://t.co/mcyF0kit3l",vice president joe biden and other speakers will not be heading wisconsin for the dnc later this month democratic organizers announced wednesday,"['vice', 'presid', 'bien', 'speaker', 'head', 'wisconsin', 'later', 'month', 'democrat', 'organ', 'announc', 'wednesday']"
8/5/2020,Biden,UberNaffa,Twitter for Android,816,697,0,"@MarcACaputo Does anyone care about Bien eulogising his friend and mentor, Strom Thurmond? I've got it, communism bad, but segregationist, white supremacy and racism is ok...? Awesome.",does anyone care about biden eulogising his friend and mentor strom thurmond have got it communism bad but segregationism white supremacy and racism ok awesome,"['anyon', 'care', 'bien', 'eulogis', 'friend', 'mentor', 'strom', 'thurmond', 'commun', 'segregationist', 'white', 'supremaci', 'racism', 'awesom']"
8/5/2020,Trump,usatodaytech,SocialNewsDesk,182984,64,0,The app works almost identically to TikTok and comes as the Trump administration moves to ban TikTok in the U.S. http://t.co/ViXcy1q9Fe,the application works almost identically tiktok and comes as the trump administration moves ban tiktok in the,"['applic', 'work', 'almost', 'ident', 'tiktok', 'come', 'trump', 'administr', 'move', 'tiktok']"
8/5/2020,Trump,kndllshnks,Twitter for iPhone,479,245,0,"also if you consistently tan in order to look dark, you dressed as a frat boy for Halloween while your friend wore an appropriated Native American outfit, and you’re a trump supporter? I fucking see you and I hope everyone at MTU knows how fucked up that is",also if you consistently tan in order look dark you dressed as frat boy for halloween while your friend wore an appropriated native american outfit and youre trump supporter fucking see you and hope everyone mtsu knows how fucked up that,"['also', 'consist', 'order', 'look', 'dark', 'dress', 'frat', 'halloween', 'friend', 'wore', 'appropri', 'nativ', 'american', 'outfit', 'your', 'trump', 'support', 'fuck', 'hope', 'everyon', 'mt', 'know', 'fuck']"
8/5/2020,Trump,Wildcatalum,Twitter for Android,2571,4996,0,"Another Inspector General Designs, Raising Questions About Pompey

Stephen J. Award became the State Department’s internal watchdog after his predecessor was fired by President Trump at the urging of Secretary of State Mike Pompey http://t.co/foPGwKxKrh",another inspector general resigns raising questions about pompeo stephen j akard became the state departments internal watchdog after his predecessor was fired by president trump the urging of secretary of state mike pompeo,"['anoth', 'inspector', 'gener', 'resign', 'rais', 'question', 'pompey', 'stephen', 'award', 'becam', 'state', 'depart', 'intern', 'watchdog', 'predecessor', 'fire', 'presid', 'trump', 'urg', 'secretari', 'state', 'mike', 'pompey']"
8/4/2020,Trump,genadamedia,GenadaMedia,1685,1642,0,"Trump: TikTok Must Sell Its American Operations by Sept. 15, Pay the U.S.
http://t.co/no8ofctJtD",trump tiktok must sell its american operations by sept pay the,"['trump', 'tiktok', 'must', 'sell', 'american', 'oper', 'sept']"
8/4/2020,Trump,Carolin64234118,Twitter for Android,0,41,0,@richardmarx I need whatever the reporter is taking to keep his cool. What an exercise in patience. Trump is stammering like a 5 year old caught climbing a chair to reach cookies.,need whatever the reporter taking keep his cool what an exercise in patience trump stammering like year old caught climbing chair reach cookies,"['need', 'whatev', 'report', 'take', 'keep', 'cool', 'exercis', 'patienc', 'trump', 'stammer', 'like', 'year', 'caught', 'climb', 'chair', 'reach', 'cooki']"
8/4/2020,Trump,soulb4time,Twitter Web App,42,117,0,@GOPChairwoman President Trump & the RN keep sending mail to my deceased husband - RIP 1/15/2018. Who's trying to scam who?,president trump and the rnc keep sending mail my deceased husband rip who trying scam who,"['presid', 'trump', 'keep', 'send', 'mail', 'deceas', 'husband', 'tri', 'scam']"
8/4/2020,Trump,Jan714,Twitter Web App,39,120,0,"@realDonaldTrump 
""Donald Trump dumped $400 million into his clubs in Aberdeen and Turnberry. Now, lawmakers in Edinburgh want to investigate him for money laundering.""

We're following the money, stable genius.
I understand orange is popular in prison.

",donald trump dumped million into his clubs in aberdeen and turnberry now lawmakers in edinburgh want investigate him for money laundering we are following the money stable genius understand orange popular in prison,"['donald', 'trump', 'dump', 'million', 'club', 'aberdeen', 'turneri', 'lawmak', 'edinburgh', 'want', 'investig', 'money', 'launder', 'follow', 'money', 'stabl', 'geniu', 'understand', 'orang', 'popular', 'prison']"
8/4/2020,Trump,jocfanaccount,Twitter for iPhone,659,730,0,This is how every single journalist should be talking to him. Call him on his crap. Every time. Don’t let him lie to you. Trump gets So flustered because he’s not used to that. http://t.co/X2f26Cubs62,this how every single journalist should be talking him call him his crap every time dont let him lie you trump gets so flustered because hes not used that,"['everi', 'singl', 'journalist', 'talk', 'call', 'crap', 'everi', 'time', 'dont', 'trump', 'get', 'fluster', 'use']"
8/4/2020,Trump,misterjoedee1,Twitter Web App,124,146,0,"keep teaching LOE, Joe. Late preached by trump is destroying America. http://t.co/ecBbdWYfgV",keep teaching love joe hate preached by trump destroying america,"['keep', 'teach', 'love', 'hate', 'preach', 'trump', 'destroy', 'america']"
8/4/2020,Trump,jjsmokkieBOY57,Twitter Web App,28829,28358,0,"Donald Trump has illiterate meltdown about ""Florida"" and gives something away in the process http://t.co/HlFxSLljdW via @PalmerReport",donald trump has illiterate meltdown about frorida and gives something away in the process via,"['donald', 'trump', 'illiter', 'meltdown', 'florida', 'give', 'someth', 'away', 'process']"
