Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL,Followers,Friends,Favorite
"Schumer 2017: This tax bill was so Trump could give tax breaks to his wealthy buddies.

Schumer 2020: I’d really like to give tax breaks to my buddies. https://t.co/g36AHil5ML",Trump,2020-08-06 01:17:14,BigLifeMark,Twitter for iPhone,1291181504383639554,https://twitter.com/statuses/1291181504383639554,2435,2252,0
@AriFleischer Whether or not you like or dislike President Trump doesn’t matter .....but if you do not feel this man has something going on cognitively ......you clearly aren’t paying attention. Quite sad honestly and a bit scary.,Trump,2020-08-06 01:17:14,Gennaro215,Twitter for iPhone,1291181504102649858,https://twitter.com/statuses/1291181504102649858,24,145,0
"@TakeSpecialist Like don’t you think the things that Trump broke down create more leeway for things to keep going right, like when a Dem gets elected, they look like a hero for adding a few environmental regulations? After Trump took away so many?",Trump,2020-08-06 01:17:14,finejustfyne,Twitter for iPhone,1291181503767085061,https://twitter.com/statuses/1291181503767085061,10,175,0
"Twitter, Facebook Remove Trump Post Over False Claim About Children And COVID-19 : NPR https://t.co/uqsAMnFI6G",Trump,2020-08-06 01:17:13,NYCguyNDC,Twitter for iPad,1291181502550638598,https://twitter.com/statuses/1291181502550638598,88,276,0
"Trump outraises Biden in July, surpasses $1 billion for the cycle - https://t.co/23qEW5hTow","Trump,Biden",2020-08-06 01:17:13,laniercountynet,StoriesFromWebsite15,1291181501045002246,https://twitter.com/statuses/1291181501045002246,56,102,0
@BillKristol Can you name 1 person Trump endorsed that didn't make you queasy?,Trump,2020-08-06 01:17:13,buddabink,Twitter Web App,1291181500008992774,https://twitter.com/statuses/1291181500008992774,3,30,0
"When you have seen the right view, you will never watch the left view again.

WATCH: The Right View with Lara Trump, Katrina Pierson, Kimberly Guilfoyle, and Mercedes Schlapp!
Streamed live 74 minutes ago
Donald J Trump
https://t.co/2aXVfUeHhZ",Trump,2020-08-06 01:17:13,LilStormRogue,Twitter Web App,1291181499484700675,https://twitter.com/statuses/1291181499484700675,956,1807,0
"Dear Trump, you’re the President of Democrat cities too. https://t.co/sNyKFUeRC4",Trump,2020-08-06 01:17:13,6679Coachkyle,Twitter for iPhone,1291181499233054720,https://twitter.com/statuses/1291181499233054720,125,647,0
Update: Twitter temporarily bans Trump team from tweeting. Finally!!! https://t.co/NQGQ2qUw9u,Trump,2020-08-06 01:17:12,Felcamp200,Twitter for iPhone,1291181498452844550,https://twitter.com/statuses/1291181498452844550,71,60,0
@TODAYshow Let me guess... trump's fault,Trump,2020-08-06 01:17:12,thecarlsons11,Twitter for Android,1291181497920229376,https://twitter.com/statuses/1291181497920229376,28,150,0
"@JonathanTurley Trump would much rather be on site. No doubt. However, the virus seems, at least to me, to eradicate any form of normalcy. He will get criticized no matter where he gives his speech.",Trump,2020-08-06 01:17:12,DallasTruex,Twitter for iPhone,1291181497630760964,https://twitter.com/statuses/1291181497630760964,33,178,0
"Facebook removes Trump post falsely claiming children are 'almost immune' to Covid-19

https://t.co/336P7RCdgL",Trump,2020-08-06 01:17:12,AsylumHistorian,Twitter for Android,1291181497291071491,https://twitter.com/statuses/1291181497291071491,667,1064,0
"@RaheemKassam Trump campaign, not Trump's accounts.
Still wrong and arguably censoring Trump himself by banning an accouny over a video of president Trump.",Trump,2020-08-06 01:17:12,AriBargolani,Twitter Web App,1291181497060413440,https://twitter.com/statuses/1291181497060413440,151,260,0
