id,value
Candidates,0.0
Candidates.Trump,0.0
Candidates.Biden,0.0
Candidates.Trump.Positive,0.0
Candidates.Trump.Negative,0.0
Candidates.Biden.Negative,0.0
Candidates.Biden.Positive,0.0
Candidates.Trump.Positive.president,3607.0
Candidates.Trump.Positive.good,2675.0
Candidates.Trump.Positive.make,2208.0
Candidates.Trump.Positive.supporter,1558.0
Candidates.Trump.Positive.american,1544.0
Candidates.Trump.Positive.great,1398.0
Candidates.Trump.Positive.love,1332.0
Candidates.Trump.Positive.care,1274.0
Candidates.Trump.Negative.people,3462.0
Candidates.Trump.Negative.vote,2931.0
Candidates.Trump.Negative.lie,2149.0
Candidates.Trump.Negative.covid,2124.0
Candidates.Trump.Negative.twitter,1466.0
Candidates.Trump.Negative.kill,1384.0
Candidates.Trump.Negative.stop,1366.0
Candidates.Trump.Negative.lose,1326.0
Candidates.Biden.Positive.harris,2092.0
Candidates.Biden.Positive.kamala,1096.0
Candidates.Biden.Positive.people,787.0
Candidates.Biden.Positive.black,613.0
Candidates.Biden.Positive.support,582.0
Candidates.Biden.Positive.party,533.0
Candidates.Biden.Positive.win,415.0
Candidates.Biden.Positive.right,406.0
Candidates.Biden.Negative.harris,1409.0
Candidates.Biden.Negative.racist,894.0
Candidates.Biden.Negative.kamala,856.0
Candidates.Biden.Negative.black,787.0
Candidates.Biden.Negative.democrat,479.0
Candidates.Biden.Negative.obama,421.0
Candidates.Biden.Negative.lose,395.0
Candidates.Biden.Negative.screw,393.0
